lat,lon,depth,strike,dip
-29.9,-70.64999999999998,69.71223,8.845929,21.625349
-29.9,-70.60000000000002,71.556404,9.229044,20.71344
-29.9,-70.55000000000001,73.309654,9.682442,19.759188
-29.9,-70.5,74.96934,10.217923,18.773289
-29.9,-70.44999999999999,76.53383,10.848461,17.76635
-29.9,-70.39999999999998,78.002426,11.588174,16.748747
-29.9,-70.35000000000002,79.37528,12.452269,15.730497
-29.9,-70.30000000000001,80.65331,13.456928,14.721128
-29.9,-70.25,81.83812,14.619153,13.72955
-29.9,-70.19999999999999,82.93191,15.956517,12.763933
-29.9,-70.14999999999998,83.93739,17.486843,11.831587
-29.9,-70.10000000000002,84.8577,19.227777,10.938849
-29.9,-70.05000000000001,85.696304,21.196291,10.090995
-29.9,-70.0,86.45693,23.408094,9.29215
-29.9,-69.94999999999999,87.14349,25.877068,8.545254
-29.9,-69.89999999999998,87.759964,28.61475,7.8520517
-29.9,-69.85000000000002,88.31035,31.629988,7.21314
-29.9,-69.80000000000001,88.79861,34.928867,6.628057
-29.9,-69.75,89.22858,38.514957,6.095437
-29.9,-69.69999999999999,89.60395,42.38985,5.6132064
-29.9,-69.64999999999998,89.92822,46.55379,5.178824
-29.9,-69.60000000000002,90.20467,51.006042,4.7895355
-29.9,-69.55000000000001,90.43638,55.744564,4.442618
-29.9,-69.5,90.62618,60.764427,4.135571
-29.9,-69.44999999999999,90.77675,66.05474,3.8662255
-29.9,-69.39999999999998,90.89055,71.59413,3.6327386
-29.9,-69.35000000000002,90.969955,77.34541,3.4334638
-29.9,-69.30000000000001,91.017235,83.251114,3.2667027
-29.9,-69.25,91.03461,89.23194,3.130382
-29.9,-69.19999999999999,91.0243,95.18996,3.0217338
-29.9,-69.14999999999998,90.98859,101.01707,2.9370654
-29.9,-69.10000000000002,90.9298,106.60696,2.8716938
-29.9,-69.05000000000001,90.8504,111.867195,2.8200648
-29.9,-69.0,90.75297,116.728004,2.7760196
-29.9,-68.94999999999999,90.64021,121.145836,2.7331386
-29.9,-68.89999999999998,90.514984,125.10202,2.6850796
-29.9,-68.85000000000002,90.38029,128.59792,2.6258602
-29.9,-68.80000000000001,90.23922,131.64853,2.5500522
-29.9,-68.75,90.09502,134.27594,2.4528966
-29.9,-68.69999999999999,89.95099,136.503,2.3303487
-29.9,-68.64999999999998,89.81049,138.34697,2.1790814
-29.9,-68.60000000000002,89.67696,139.81157,1.996462
-29.9,-68.55000000000001,89.553825,140.87378,1.78053
-29.9,-68.5,89.44453,141.45506,1.529996
-29.9,-68.44999999999999,89.35248,141.3446,1.2443184
