lon_c,lat_c,depth,strike,dip,area_km2
-72.0,-27.200000000000003,8.78720025,10.02511325,6.177209375,439.88085122701943
-72.0,-27.0,8.4857665,9.588441,5.8837624,440.6672960814067
-71.8,-30.0,25.5532604375,6.27879303125,19.7365294375,428.3123216983501
-71.8,-29.8,24.640503625,7.13919769375,19.101101125,429.1729023165932
-71.8,-29.6,23.626577,8.37294188125,18.390064625,430.0282535984603
-71.8,-29.400000000000002,22.4765056875,10.02944325,17.5629435625,430.87836512176597
-71.8,-29.200000000000003,21.174136125,11.9579939375,16.59904821875,431.72322652816956
-71.8,-29.0,19.74241,13.84125725,15.512286312499999,432.56282752330145
-71.8,-28.8,18.244379062500002,15.3108850625,14.3471219375,433.39715787688846
-71.8,-28.6,16.764449,16.0887090625,13.164937625,434.22620742287853
-71.8,-28.400000000000002,15.38161,16.08349859375,12.028673375,435.04996605956455
-71.8,-28.200000000000003,14.1493634375,15.396890375,10.988721281250001,435.8684237497077
-71.8,-28.0,13.08967440625,14.2554213125,10.0737464375,436.681570520659
-71.8,-27.8,12.19802175,12.9301695625,9.2893541875,437.48939646448184
-71.8,-27.6,11.4524604375,11.6757559375,8.62306864375,438.291891738072
-71.8,-27.400000000000002,10.822675437500001,10.6697324375,8.0524443,439.0890465632779
-71.8,-27.200000000000003,10.278697781249999,9.946896875,7.553790025,439.88085122701943
-71.8,-27.0,9.79898715625,9.36548390625,7.1094171625,440.6672960814067
-71.8,-26.8,9.3760213125,8.6351371875,6.7135368125,441.4483715438572
-71.8,-26.6,9.284921416666666,7.3711884916666675,6.633251733333334,442.2240680972132
-71.8,-26.400000000000002,9.056787136363637,5.472822709090909,6.439607709090908,442.99437628985686
-71.8,-26.200000000000003,9.0902565625,2.7830231375,6.5390821875,443.75928673582587
-71.8,-26.0,9.1983334,144.416178036,6.7485227199999995,444.5187901149279
-71.8,-25.8,9.345222,358.6188125,7.0444949999999995,445.272877172854
-71.60000000000001,-30.0,32.1074495,6.495015408333334,22.99789475,428.3123216983501
-71.60000000000001,-29.8,30.989072750000002,7.372433141666666,22.423299333333333,429.1729023165932
-71.60000000000001,-29.6,29.734968,8.69032825,21.757317083333334,430.0282535984603
-71.60000000000001,-29.400000000000002,28.293448416666667,10.46588275,20.9494195,430.87836512176597
-71.60000000000001,-29.200000000000003,26.64390941666667,12.476969791666667,19.971724166666665,431.72322652816956
-71.60000000000001,-29.0,24.822821833333336,14.344917875,18.8328615,432.56282752330145
-71.60000000000001,-28.8,22.919672833333333,15.692563541666667,17.57650425,433.39715787688846
